Sentence,Part1 Sentiment,Part2 Sentiment,Transition Word,part1_sentence,part2_sentence
ಅಸಾದ್ ಅವರು ರಾಸಾಯನಿಕ ಅಸ್ತ್ರಗಳನ್ನು ಅಂತರರಾಷ್ಟ್ರೀಯ ಹಿಡಿತಕ್ಕೆ ನೀಡಿದರ ಯುದ್ಧ ಸ್ಥಗಿತಗೊಳಿಸುವಿರಾ ಎಂ ಪ್ರಶ್ನೆಗೆ ಒಬಾಮಾ ಒಂದು ವೇಳೆ ಅದು ಸಾಧ್ಯವಾದಲ್ಲಿ ನಿಶ್ಚಿತವಾಗಿಯೂ ಎಂದು ಪ್ರತಿಕ್ರಿಯಿಸಿದ್ದಾರೆ,O,P,ಒಂದು ವೇಳೆ,ಅಸಾದ್ ಅವರು ರಾಸಾಯನಿಕ ಅಸ್ತ್ರಗಳನ್ನು ಅಂತರರಾಷ್ಟ್ರೀಯ ಹಿಡಿತಕ್ಕೆ ನೀಡಿದರ ಯುದ್ಧ ಸ್ಥಗಿತಗೊಳಿಸುವಿರಾ ಎಂ ಪ್ರಶ್ನೆಗೆ ಒಬಾಮಾ,ಒಂದು ವೇಳೆ ಅದು ಸಾಧ್ಯವಾದಲ್ಲಿ ನಿಶ್ಚಿತವಾಗಿಯೂ ಎಂದು ಪ್ರತಿಕ್ರಿಯಿಸಿದ್ದಾರೆ
ಸಂಜೆ 6 ಗಂಟೆ ಸುಮಾರಿಗೆ ಬೆಂಕಿ ಹೊತ್ತಿಕೊಂಡಿದ್ದು ಸುಮಾರು ಅರ್ಧ ಗಂಟೆ ಹೊತ್ತಿ ಉರಿದಿದೆ ಈ ವೇಳೆಗೆ ಕೆಲ ಎಕರೆ ಪ್ರದೇಶಗಳಷ್ಟು ಬೆಂಕಿ ಕೆನ್ನಾಲಿಗೆ ವ್ಯಾಪಿಸಿಕೊಂಡಿದ್ದು ಈ ಭಾಗದಲ್ಲಿನ ಔಷಧಿ ಸಸ್ಯಗಳು ಹಾಗೂ ಜೀವ ಜಂತುಗಳು ಬೆಂಕಿಗಾಹುತಿಯಾಗಿವೆ ಆದರೆ ಈ ಕುರಿತು ಪ್ರತಿಕ್ರಿಯಿಸಿರುವ ಮುಂಡರಗಿ ಆರ್‌ಎಫ್‌ಒ ಮಹಾಂತೇಶ ನ್ಯಾಮತಿ ಡೋಣಿ ಬಳಿ ಕೇವಲ ಒಂದೆರಡು ಎಕರೆ ಪ್ರದೇಶದಲ್ಲಿ ಬೆಂಕಿ ಹೊತ್ತಿಕೊಂಡಿತ್ತು ಈ ಬಗ್ಗೆ ಮಾಹಿತಿ ಲಭ್ಯವಾದ 10 ನಿಮಿಷದಲ್ಲಿ ಇಲಾಖೆಯ ಸ್ಕ್ವಾಡ್‌ಗಳು ಸ್ಥಳಕ್ಕೆ ಧಾವಿಸಿ ಬೆಂಕಿ ನಂದಿಸಿದ್ದಾರೆ,N,P,ಆದರೆ,ಸಂಜೆ 6 ಗಂಟೆ ಸುಮಾರಿಗೆ ಬೆಂಕಿ ಹೊತ್ತಿಕೊಂಡಿದ್ದು ಸುಮಾರು ಅರ್ಧ ಗಂಟೆ ಹೊತ್ತಿ ಉರಿದಿದೆ ಈ ವೇಳೆಗೆ ಕೆಲ ಎಕರೆ ಪ್ರದೇಶಗಳಷ್ಟು ಬೆಂಕಿ ಕೆನ್ನಾಲಿಗೆ ವ್ಯಾಪಿಸಿಕೊಂಡಿದ್ದು ಈ ಭಾಗದಲ್ಲಿನ ಔಷಧಿ ಸಸ್ಯಗಳು ಹಾಗೂ ಜೀವ ಜಂತುಗಳು ಬೆಂಕಿಗಾಹುತಿಯಾಗಿವೆ,ಆದರೆ ಈ ಕುರಿತು ಪ್ರತಿಕ್ರಿಯಿಸಿರುವ ಮುಂಡರಗಿ ಆರ್‌ಎಫ್‌ಒ ಮಹಾಂತೇಶ ನ್ಯಾಮತಿ ಡೋಣಿ ಬಳಿ ಕೇವಲ ಒಂದೆರಡು ಎಕರೆ ಪ್ರದೇಶದಲ್ಲಿ ಬೆಂಕಿ ಹೊತ್ತಿಕೊಂಡಿತ್ತು ಈ ಬಗ್ಗೆ ಮಾಹಿತಿ ಲಭ್ಯವಾದ 10 ನಿಮಿಷದಲ್ಲಿ ಇಲಾಖೆಯ ಸ್ಕ್ವಾಡ್‌ಗಳು ಸ್ಥಳಕ್ಕೆ ಧಾವಿಸಿ ಬೆಂಕಿ ನಂದಿಸಿದ್ದಾರೆ
ಸಿನಿಮಾ ತಾರೆಯರೆಂದರೆ ಸಾಮಾನ್ಯವಾಗಿ ಐಷಾರಾಮಿ ಜೀವನ ಕಳೆಯುತ್ತಾರೆ ಜನ ಸಾಮಾನ್ಯರ ಕಷ್ಟನಷ್ಟಗಳ ಅರಿವು ಅವರಿಗಿರುವುದಿಲ್ಲವೆಂಬ ಭಾವನೆ ಇದೆ ಆದರೆ ಎಲ್ಲರೂ ಆ ರೀತಿ ಇರುವುದಿಲ್ಲವೆಂಬುದಕ್ಕೆ ಆನೇಕ ಉದಾಹರಣೆಗಳಿವೆ,N,P,ಆದರೆ,ಸಿನಿಮಾ ತಾರೆಯರೆಂದರೆ ಸಾಮಾನ್ಯವಾಗಿ ಐಷಾರಾಮಿ ಜೀವನ ಕಳೆಯುತ್ತಾರೆ ಜನ ಸಾಮಾನ್ಯರ ಕಷ್ಟನಷ್ಟಗಳ ಅರಿವು ಅವರಿಗಿರುವುದಿಲ್ಲವೆಂಬ ಭಾವನೆ ಇದೆ,ಆದರೆ ಎಲ್ಲರೂ ಆ ರೀತಿ ಇರುವುದಿಲ್ಲವೆಂಬುದಕ್ಕೆ ಆನೇಕ ಉದಾಹರಣೆಗಳಿವೆ
ಪ್ರಪಂಚದಲ್ಲಿ ಅತಿದೊಡ್ಡ ಸಂಖ್ಯೆಯಲ್ಲಿ ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿರುವ ಫೇಸ್‌ಬುಕ್‌ ಸಾಮಾಜಿಕ ಜಾಲತಾಣ ಥೈಲೆಂಡ್‌ನಲ್ಲಿ ತನ್ನ ಮೊದಲ ಕಛೇರಿಯನ್ನು ಸ್ಥಾಪಿಸಿದೆ ಆದರೆ ತನ್ನ ಕಛೇರಿಯನ್ನು ಯಾವ ಪ್ರದೇಶದಲ್ಲಿ ಪ್ರಾರಂಭಿಸುತ್ತದೆ ಎಂಬುದರ ಬಗ್ಗೆ ಮಾಹಿತಿ ಬಹಿರಂಗ ಗೊಳಿಸಿಲ್ಲ,P,O,ಆದರೆ,ಪ್ರಪಂಚದಲ್ಲಿ ಅತಿದೊಡ್ಡ ಸಂಖ್ಯೆಯಲ್ಲಿ ಬಳಕೆದಾರರನ್ನು ಹೊಂದಿರುವ ಫೇಸ್‌ಬುಕ್‌ ಸಾಮಾಜಿಕ ಜಾಲತಾಣ ಥೈಲೆಂಡ್‌ನಲ್ಲಿ ತನ್ನ ಮೊದಲ ಕಛೇರಿಯನ್ನು ಸ್ಥಾಪಿಸಿದೆ,ಆದರೆ ತನ್ನ ಕಛೇರಿಯನ್ನು ಯಾವ ಪ್ರದೇಶದಲ್ಲಿ ಪ್ರಾರಂಭಿಸುತ್ತದೆ ಎಂಬುದರ ಬಗ್ಗೆ ಮಾಹಿತಿ ಬಹಿರಂಗ ಗೊಳಿಸಿಲ್ಲ
ಪತ್ರಿಕೆಯಲ್ಲಿ ಜಾಹೀರಾತುಗಳನ್ನು ಓದುಗರು ಗಂಭೀರವಾಗಿ ಗಮನಿಸುವುದಿಲ್ಲ ಆದರೆ ‘ಮಠ’ ಚಿತ್ರದ ಜಾಹೀರಾತುಗಳನ್ನು ನೋಡಿ ಎರಡು ನಿಮಿಷ ನಗ್ತಾಯಿದ್ದರು ಮಾತಾಡುತ್ತಿದ್ದರು ಅದೇ ಸಾರ್ಥಕತೆ,N,P,ಆದರೆ,ಪತ್ರಿಕೆಯಲ್ಲಿ ಜಾಹೀರಾತುಗಳನ್ನು ಓದುಗರು ಗಂಭೀರವಾಗಿ ಗಮನಿಸುವುದಿಲ್ಲ,ಆದರೆ ‘ಮಠ’ ಚಿತ್ರದ ಜಾಹೀರಾತುಗಳನ್ನು ನೋಡಿ ಎರಡು ನಿಮಿಷ ನಗ್ತಾಯಿದ್ದರು ಮಾತಾಡುತ್ತಿದ್ದರು ಅದೇ ಸಾರ್ಥಕತೆ
ಜನ ತಮ್ಮ ಈ ಅಭಿಪ್ರಾಯ ವ್ಯಕ್ತಪಡಿಸಲು ಹಿಂದೆ ಬೇರೆ ಅವಕಾಶಗಳೇ ಇರಲಿಲ್ಲ ಆದರೆ ಈಗ ನೋಟಾ ಅದಕ್ಕೆ ಅವಕಾಶ ಒದಗಿಸಿದೆ ವ್ಯವಸ್ಥೆಯ ವಿರುದ್ಧ ತನ್ನ ಸಿಟ್ಟನ್ನು ಚುನಾವಣಾ ವ್ಯವಸ್ಥೆಯೊಳಗೇ ವ್ಯಕ್ತಪಡಿಸುವ ಆಯ್ಕೆ ಈಗ ಪ್ರಜ್ಞಾವಂತರಿಗಿದೆ ಅ ಶ್ರೀಧರ್‌,N,P,ಆದರೆ,ಜನ ತಮ್ಮ ಈ ಅಭಿಪ್ರಾಯ ವ್ಯಕ್ತಪಡಿಸಲು ಹಿಂದೆ ಬೇರೆ ಅವಕಾಶಗಳೇ ಇರಲಿಲ್ಲ,ಆದರೆ ಈಗ ನೋಟಾ ಅದಕ್ಕೆ ಅವಕಾಶ ಒದಗಿಸಿದೆ ವ್ಯವಸ್ಥೆಯ ವಿರುದ್ಧ ತನ್ನ ಸಿಟ್ಟನ್ನು ಚುನಾವಣಾ ವ್ಯವಸ್ಥೆಯೊಳಗೇ ವ್ಯಕ್ತಪಡಿಸುವ ಆಯ್ಕೆ ಈಗ ಪ್ರಜ್ಞಾವಂತರಿಗಿದೆ ಅ ಶ್ರೀಧರ್‌
ಲೂಸಿಯಾ ಪವನ್ ಅವರ ಬಗ್ಗೆ ಮಾತನಾಡಿದ ಉಪೇಂದ್ರ ಹಾಲಿವುಡ್ ಸಿನಿಮಾ ಮಾಡುವ ಸಾಮರ್ಥ್ಯ ಇದೆ ಆದ್ದರಿಂದ ನೀವು ಇಂಗ್ಲೀಷ್ ಚಿತ್ರ ನಿರ್ದೇಶನ ಮಾಡಿ ಎಂದು ಸಲಹೆ ನೀಡಿದ್ದಾರೆ,P,O,ಆದ್ದರಿಂದ,ಲೂಸಿಯಾ ಪವನ್ ಅವರ ಬಗ್ಗೆ ಮಾತನಾಡಿದ ಉಪೇಂದ್ರ ಹಾಲಿವುಡ್ ಸಿನಿಮಾ ಮಾಡುವ ಸಾಮರ್ಥ್ಯ ಇದೆ,ಆದ್ದರಿಂದ ನೀವು ಇಂಗ್ಲೀಷ್ ಚಿತ್ರ ನಿರ್ದೇಶನ ಮಾಡಿ ಎಂದು ಸಲಹೆ ನೀಡಿದ್ದಾರೆ
ಸಾಧಾರಣವಾಗಿ ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರೋದ್ಯಮ ಕಂಪ್ಯೂಟರ್ ಗ್ರಾಫಿಕ್ಸ್ ಗಾಗಿ ಅದಮ್ಯವಾಗಿ ನೆಚ್ಚಿಕೊಂಡಿರುವುದು ಚೆನ್ನೈ ಹಾಗೂ ಹೈದರಾಬಾದ್ ಗಳನ್ನು ಆದರೆ ನಮ್ಮಲ್ಲೇ ಎಲೆಮರೆಯಕಾಯಿಯಂತೆ ಹಲವಾರು ಸಂಸ್ಥೆಗಳಿವೆ ಚೆನ್ನೈ ಹೈದರಾಬಾದಿಗಿಂತಲೂ ಅತ್ಯದ್ಭುತವಾಗಿ ಕಡಿಮೆ ಬಜೆಟ್ ನಲ್ಲಿ ಕಂಪ್ಯೂಟರ್ ಗ್ರಾಫಿಕ್ಸ್ ಹಾಗೂ ಅನಿಮೇಷನ್ ಮಾಡಿಕೊಡುವ ನುರಿತ ತಂತ್ರಜ್ಞರಿದ್ದಾರೆ,O,P,ಆದರೆ,ಸಾಧಾರಣವಾಗಿ ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರೋದ್ಯಮ ಕಂಪ್ಯೂಟರ್ ಗ್ರಾಫಿಕ್ಸ್ ಗಾಗಿ ಅದಮ್ಯವಾಗಿ ನೆಚ್ಚಿಕೊಂಡಿರುವುದು ಚೆನ್ನೈ ಹಾಗೂ ಹೈದರಾಬಾದ್ ಗಳನ್ನು,ಆದರೆ ನಮ್ಮಲ್ಲೇ ಎಲೆಮರೆಯಕಾಯಿಯಂತೆ ಹಲವಾರು ಸಂಸ್ಥೆಗಳಿವೆ ಚೆನ್ನೈ ಹೈದರಾಬಾದಿಗಿಂತಲೂ ಅತ್ಯದ್ಭುತವಾಗಿ ಕಡಿಮೆ ಬಜೆಟ್ ನಲ್ಲಿ ಕಂಪ್ಯೂಟರ್ ಗ್ರಾಫಿಕ್ಸ್ ಹಾಗೂ ಅನಿಮೇಷನ್ ಮಾಡಿಕೊಡುವ ನುರಿತ ತಂತ್ರಜ್ಞರಿದ್ದಾರೆ
ಇಂದು ವಿಶ್ವದ ಎಲ್ಲೆಡೆ ಸ್ನೇಹದಿನಾಚರಣೆ ಆಚರಿಸಲಾಗುತ್ತದೆ ಸ್ನೇಹಿತರಿಗೆ ಪರಸ್ಪರ ಬ್ಯಾಂಡ್‌ಗಳನ್ನ ಕಟ್ಟಿ ಸಿಹಿ ತಿನ್ನಿಸಿ ಶುಭಾಶಯಗಳನ್ನ ವಿನಿಮಯ ಮಾಡಿಕೊಳ್ಳೊದು ಕಾಮನ್ ಆದರೆ ಕಲಬುರಗಿ‌ ನಗರದ ‘ನಮ್ಮ ಸಂಕಲ್ಪ ಫೌಂಡೇಶನ್ ವತಿಯಿಂದ ಫ್ರೆಂಡ್‌ಶಿಪ್ ಡೇ ಯನ್ನ ವಿಶಿಷ್ಟವಾಗಿ ಪರಿಸರ ದಿನವನ್ನಾಗಿ ಆಚರಿಸಲಾಯಿತು,P,P,ಆದರೆ,ಇಂದು ವಿಶ್ವದ ಎಲ್ಲೆಡೆ ಸ್ನೇಹದಿನಾಚರಣೆ ಆಚರಿಸಲಾಗುತ್ತದೆ ಸ್ನೇಹಿತರಿಗೆ ಪರಸ್ಪರ ಬ್ಯಾಂಡ್‌ಗಳನ್ನ ಕಟ್ಟಿ ಸಿಹಿ ತಿನ್ನಿಸಿ ಶುಭಾಶಯಗಳನ್ನ ವಿನಿಮಯ ಮಾಡಿಕೊಳ್ಳೊದು ಕಾಮನ್,ಆದರೆ ಕಲಬುರಗಿ‌ ನಗರದ ‘ನಮ್ಮ ಸಂಕಲ್ಪ ಫೌಂಡೇಶನ್ ವತಿಯಿಂದ ಫ್ರೆಂಡ್‌ಶಿಪ್ ಡೇ ಯನ್ನ ವಿಶಿಷ್ಟವಾಗಿ ಪರಿಸರ ದಿನವನ್ನಾಗಿ ಆಚರಿಸಲಾಯಿತು
ಬೆಲೆ ಏರಿದಾಗಲೆಲ್ಲ ಜನ ಟೀಕಿಸುತ್ತಾರೆ ಆದರೆ ಇದರಿಂದ ದೇಶಕ್ಕೆ ಲಾಭವಿದೆ ಎಂಬುದನ್ನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು ಎಂದರು,N,P,ಆದರೆ,ಬೆಲೆ ಏರಿದಾಗಲೆಲ್ಲ ಜನ ಟೀಕಿಸುತ್ತಾರೆ,ಆದರೆ ಇದರಿಂದ ದೇಶಕ್ಕೆ ಲಾಭವಿದೆ ಎಂಬುದನ್ನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು ಎಂದರು
