0,Sentence,Part1 Sentiment,Part2 Sentiment,Transition Word
1,ಆ ಕಾಲವೇ ಹಾಗಿತ್ತು ಮುಖಾಮುಖಿ ಮಾತು ಸಂಬಂಧಗಳಿಗೆ ಬೆಲೆ ಇತ್ತು ಜತೆಯಾಗಿ ಊಟ ಆಟ ಪಾಠ ನಮ್ಮದಾಗುತ್ತಿತ್ತು ಆದರೆ ಈಗ ಕಾಲ ಆಗಿಲ್ಲ ವೈಯಕ್ತಿಕ ಹಿತಾಸಕ್ತಿ ಸಾಧನೆ ಕೆಲಸದ ಒತ್ತಡ ಎಲ್ಲವನ್ನು ನುಂಗುತ್ತಿದೆ,Positive,Negetive,ಆದರೆ
2,ನಾವೆಲ್ಲ ಯಾಕೆ ಹೀಗೆ ಆಗುತ್ತಿದ್ದೇವೆ ? ದೊಡ್ಡ ಗ್ರಾತ್ರದ ಕಟ್ಟಡ ಕಟ್ಟಬೇಕು ರೋಬೊ ಕಂಡುಹಿಡಿಯಬೇಕು ನಿಜ ಆದರೆ ನಾವೇ ರೋಬೊ ಆಗಬಾರದು ನಿಂತ ಕಟ್ಟಡವೂ ಆಗಬಾರದು,Positive,Negetive,ಆದರೆ
3,ಶ್ರೀವಿದ್ಯಾಮಾನ್ಯರ ಸಮೀಪದ ಒಡನಾಟ ನನಗೆ ದೊರಕಿರಲಿಲ್ಲ ಆದರೆ ಅವರ ಮುಗ್ದತೆಯ ಬಗ್ಗೆ ಇನ್ನಿತರ ಹಿರಿಯರಿಂದ ಕೇಳಿ ಬಲ್ಲೆ,Negetive,Positive,ಆದರೆ
4,ಖ್ಯಾತ ಬಾಲಿವುಡ್ ನಟ ಸಲ್ಮಾನ್ ಖಾನ್ ಅಭಿನಯದ 'ಸುಲ್ತಾನ್' ಚಿತ್ರ ಬಿಡುಗಡೆಗೊಂಡ ಮೂರು ದಿನಗಳಲ್ಲೇ '100 ಕೋಟಿ ಕ್ಲಬ್' ಸೇರುವ ಮೂಲಕ ದಾಖಲೆ ಮಾಡಿದೆ ಅಲ್ಲದೇ ಅತಿ ಹೆಚ್ಚು ಗಳಿಕೆ ಮಾಡಿದ ಚಿತ್ರಗಳ ಪಟ್ಟಿಯಲ್ಲಿ ಸಲ್ಮಾನ್ ಖಾನ್ ಪ್ರಥಮ ಸ್ಥಾನದಲ್ಲಿದ್ದಾರೆ ಆದರೆ ವಿಶ್ವದ ಅತಿ ಹೆಚ್ಚು ಸಂಭಾವನೆ ಪಡೆಯುತ್ತಿರುವ ಸೆಲೆಬ್ರಿಟಿಗಳ ಪಟ್ಟಿಯನ್ನು ಫೋರ್ಬ್ಸ್ ನಿಯತಕಾಲಿಕೆ ಬಿಡುಗಡೆ ಮಾಡಿದ್ದು ಇದರಲ್ಲಿ ಸಲ್ಮಾನ್ ಸ್ಥಾನ ಗಿಟ್ಟಿಸಿಕೊಂಡಿಲ್ಲ,Positive,Negetive,ಆದರೆ
5,ನಾನು ಇಷ್ಟು ಮಾಡಿದ್ದಕ್ಕೆ ಇಲಾಖೆ ನನ್ನನ್ನು ಅಭಿನಂದಿಸಲು ಮರೆಯಲಿಲ್ಲ ಆದರೆ ಮಾಡಬೇಕಾದ ಕೆಲಸ ಮಾತ್ರ ಮಾಡಲಿಲ್ಲ,Positive,Negetive,ಆದರೆ
6,ದೇಶದ ದುರದೃಷ್ಟ ಅಧಿಕಾರಿಗಳಿಗೆ ಮರಗಳ ರಕ್ಷಣೆಗಿಂತ ಇಲಾಖೆಯ ಪ್ರತಿಷ್ಠೆಯ ರಕ್ಷಣೆ ಹೆಚ್ಚು ಮುಖ್ಯವಾಯಿತು ಹೀಗಾಗಿ ಬೊಳ್ಳಾಜೆಯ ಹಲವು ಮರಗಳು ಅಕಾಲ ಮರಣಕ್ಕೀಡಾದವು,Nutral,Negetive,ಹೀಗಾಗಿ
7,ಎಂ ಎಸ್ ಇ ಜಡ್ ಕಂಪೆನಿಯ ಪ್ರತಿ ಹೆಜ್ಜೆಯನ್ನೂ ಸೂಕ್ಷ್ಮವಾಗಿ ಗಮನಿಸಬೇಕಿತ್ತು ಆದರೆ ಅದು ಹೊಸದೊಂದು ಅಣೆಕಟ್ಟು ನಿರ್ಮಿಸಿ ಮಂಗಳೂರಿಗರಿಗೆ ನೀರು ಕೊಡುವ ಉತ್ಸಾಹದಲ್ಲಿ ತನ್ನ ನೀರಿನ ಮೂಲಕ್ಕೇ ಕನ್ನ ಬೀಳುತ್ತಿರುವುದನ್ನು ಕಾಣುತ್ತಿಲ್ಲ,Nutral,Nutral,ಆದರೆ
8,ಈ ಜಿಲ್ಲೆಗಳಿಗೆ ಕಾವೇರಿ ನದಿಯಿಂದ ನೀರು ಪೂರೈಸುವ ಯಾವ ಯೋಜನೆಯೂ ಇಲ್ಲ ಏಕೆಂದರೆ ಕಾವೇರಿಯ ನೀರು ನೀರಾವರಿ ಹಾಗೂ ದಿನದಿನವೂ ಬೆಳೆಯುತ್ತಿರುವ ಬೆಂಗಳೂರಿನ ಕುಡಿಯುವ ನೀರಿನ ಬೇಡಿಕೆಯನ್ನು ಪೂರೈಸಲು ಮೀಸಲಾಗಿದೆ,Nutral,Nutral,ಏಕೆಂದರೆ
9,ತೊಂದರೆ ಇಲ್ಲಪ್ಪ ಹತ್ತಿರವೇ ಸಕಲೇಶಪುರ ಇದೆ ಅಲ್ಲಿಗೆ ಬಂದು ಇರ್ತಾವೆ ಮೊನ್ನೆ ಮೈಸೂರಿಗೆ ಬಂದಿದ್ದವಲ್ಲ ಹಾಗೇ ಅಂದಾರು ನಮ್ಮ ಯೋಜನಾಕರ್ತರು ಆದರೆ ಸಕಲೇಶಪುರದ ಜನ ಇದಕ್ಕೆ ಒಪ್ಪಿಗೆ ಕೊಡುತ್ತಾರೋ ಗೊತ್ತಿಲ್ಲ,Positive,Nutral,ಆದರೆ
10,ಎಲ್ಲಾ ಹಳ್ಳಿಗಳಿಗೂ ಕುಡಿಯುವ ನೀರಿಗೆ ಕೊಳವೆ ಬಾವಿ ನೀರೇ ಅಸರೆ ಆದರೆ ಅವುಗಳ ಸೂಕ್ತ ನಿರ್ವಹಣೆ ಇಲ್ಲದೆ ಸುರಕ್ಷಿತತೆ ಮತ್ತು ನೈರ್ಮಲ್ಯತೆಯೇ ಇಲ್ಲವಾಗಿತ್ತು,Nutral,Negetive,ಆದರೆ
